Consumption,LnPorn,Commit,Phys_Inf,Hook_Ups
1.0,0.0,5.0,0.0,0.0
3.0,0.47712125471966244,4.0,0.0,2.0
1.0,0.0,5.0,0.0,1.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,2.25,0.0,0.0
1.0,0.0,4.25,0.0,0.0
1.0,0.0,4.0,0.0,0.0
3.0,0.47712125471966244,4.0,2.0,0.0
3.0,0.47712125471966244,4.25,0.0,0.0
3.0,0.47712125471966244,4.5,0.0,0.0
3.0,0.47712125471966244,4.5,0.0,1.0
1.0,0.0,5.0,0.0,1.0
3.0,0.47712125471966244,4.75,0.0,0.0
4.0,0.6020599913279624,3.25,0.0,10.0
1.0,0.0,3.0,2.0,0.0
1.0,0.0,3.25,0.0,2.0
1.0,0.0,5.0,0.0,0.0
2.0,0.3010299956639812,5.0,0.0,1.0
1.0,0.0,4.25,1.0,1.0
1.0,0.0,3.75,0.0,0.0
1.0,0.0,1.75,2.0,2.0
1.0,0.0,3.75,0.0,0.0
3.0,0.47712125471966244,4.25,2.0,0.0
2.0,0.3010299956639812,3.5,0.0,1.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,3.0,0.0,1.0
2.0,0.3010299956639812,4.75,0.0,0.0
1.0,0.0,4.0,0.0,0.0
1.0,0.0,4.75,0.0,0.0
3.0,0.47712125471966244,4.25,0.0,1.0
1.0,0.0,3.75,2.0,2.0
1.0,0.0,4.75,0.0,1.0
3.0,0.47712125471966244,4.75,0.0,0.0
1.0,0.0,3.75,0.0,1.0
1.0,0.0,4.25,2.0,1.0
1.0,0.0,4.75,0.0,1.0
1.0,0.0,3.75,0.0,0.0
3.0,0.47712125471966244,3.5,0.0,2.0
1.0,0.0,4.25,0.0,2.0
1.0,0.0,4.75,0.0,0.0
2.0,0.3010299956639812,3.0,1.0,4.0
1.0,0.0,4.25,0.0,0.0
1.0,0.0,4.75,0.0,0.0
1.0,0.0,3.25,2.0,6.0
1.0,0.0,3.75,0.0,1.0
1.0,0.0,3.0,0.0,0.0
3.0,0.47712125471966244,4.75,0.0,0.0
1.0,0.0,4.5,0.0,0.0
1.0,0.0,3.5,0.0,1.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,5.0,2.0,0.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,4.5,0.0,1.0
1.0,0.0,4.75,0.0,0.0
1.0,0.0,4.75,0.0,0.0
1.0,0.0,4.0,0.0,0.0
1.0,0.0,4.0,0.0,0.0
1.0,0.0,4.5,0.0,0.0
1.0,0.0,3.75,0.0,1.0
3.0,0.47712125471966244,4.75,0.0,0.0
1.0,0.0,3.75,0.0,5.0
1.0,0.0,,0.0,0.0
1.0,0.0,3.0,1.0,0.0
3.0,0.47712125471966244,4.75,2.0,3.0
1.0,0.0,4.0,0.0,0.0
4.0,0.6020599913279624,5.0,0.0,1.0
1.0,0.0,3.25,0.0,0.0
1.0,0.0,3.75,0.0,0.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,5.0,0.0,0.0
6.0,0.7781512503836436,4.0,2.0,1.0
1.0,0.0,4.75,0.0,0.0
1.0,0.0,4.25,0.0,0.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,3.25,2.0,6.0
1.0,0.0,3.25,0.0,0.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,4.75,1.0,0.0
1.0,0.0,4.0,0.0,1.0
3.0,0.47712125471966244,3.75,2.0,4.0
2.0,0.3010299956639812,3.0,2.0,2.0
1.0,0.0,4.25,0.0,0.0
1.0,0.0,5.0,0.0,3.0
1.0,0.0,4.75,0.0,3.0
4.0,0.6020599913279624,3.75,0.0,0.0
3.0,0.47712125471966244,3.0,0.0,1.0
3.0,0.47712125471966244,5.0,0.0,0.0
1.0,0.0,4.5,0.0,1.0
1.0,0.0,1.75,2.0,2.0
2.0,0.3010299956639812,4.75,0.0,0.0
3.0,0.47712125471966244,4.5,0.0,0.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,4.25,0.0,0.0
3.0,0.47712125471966244,5.0,0.0,0.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,4.5,0.0,0.0
3.0,0.47712125471966244,3.5,0.0,1.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,3.75,0.0,1.0
1.0,0.0,4.25,0.0,0.0
2.0,0.3010299956639812,4.75,0.0,1.0
1.0,0.0,3.75,0.0,0.0
1.0,0.0,4.75,0.0,0.0
1.0,0.0,4.5,0.0,0.0
1.0,0.0,5.0,0.0,1.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,4.75,0.0,0.0
1.0,0.0,4.25,0.0,5.0
1.0,0.0,4.75,0.0,0.0
1.0,0.0,3.5,0.0,0.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,5.0,0.0,2.0
7.0,0.8450980400142568,5.0,2.0,3.0
1.0,0.0,3.25,0.0,6.0
1.0,0.0,5.0,0.0,1.0
1.0,0.0,3.5,0.0,0.0
4.0,0.6020599913279624,4.0,0.0,2.0
1.0,0.0,3.25,0.0,0.0
1.0,0.0,5.0,0.0,0.0
3.0,0.47712125471966244,4.75,0.0,0.0
3.0,0.47712125471966244,3.75,0.0,0.0
1.0,0.0,4.75,2.0,0.0
1.0,0.0,4.5,0.0,0.0
2.0,0.3010299956639812,3.5,2.0,8.0
1.0,0.0,3.25,0.0,3.0
1.0,0.0,3.75,0.0,0.0
3.0,0.47712125471966244,3.5,0.0,2.0
1.0,0.0,4.75,0.0,1.0
2.0,0.3010299956639812,5.0,0.0,0.0
3.0,0.47712125471966244,3.75,0.0,0.0
1.0,0.0,3.75,0.0,0.0
1.0,0.0,3.75,0.0,0.0
1.0,0.0,4.5,0.0,0.0
1.0,0.0,5.0,0.0,0.0
2.0,0.3010299956639812,4.75,0.0,1.0
1.0,0.0,4.75,0.0,0.0
1.0,0.0,5.0,0.0,1.0
1.0,0.0,3.25,0.0,0.0
1.0,0.0,5.0,0.0,0.0
3.0,0.47712125471966244,2.5,2.0,1.0
1.0,0.0,4.25,0.0,0.0
3.0,0.47712125471966244,3.5,0.0,1.0
1.0,0.0,4.0,0.0,0.0
1.0,0.0,4.75,0.0,0.0
5.0,0.6989700043360189,4.75,1.0,2.0
3.0,0.47712125471966244,3.0,2.0,5.0
1.0,0.0,4.25,0.0,0.0
1.0,0.0,3.5,0.0,0.0
5.0,0.6989700043360189,4.5,0.0,0.0
1.0,0.0,3.5,0.0,0.0
1.0,0.0,3.5,0.0,0.0
3.0,0.47712125471966244,3.25,0.0,4.0
1.0,0.0,4.25,0.0,0.0
7.0,0.8450980400142568,3.75,0.0,1.0
2.0,0.3010299956639812,4.75,0.0,0.0
1.0,0.0,4.0,0.0,1.0
1.0,0.0,2.75,0.0,0.0
1.0,0.0,3.75,0.0,0.0
2.0,0.3010299956639812,4.75,0.0,1.0
1.0,0.0,3.75,0.0,0.0
1.0,0.0,4.75,2.0,1.0
1.0,0.0,3.75,0.0,0.0
2.0,0.3010299956639812,4.5,0.0,1.0
1.0,0.0,4.75,0.0,0.0
1.0,0.0,4.333333333333333,0.0,0.0
1.0,0.0,5.0,0.0,0.0
5.0,0.6989700043360189,2.75,2.0,4.0
1.0,0.0,4.25,0.0,0.0
1.0,0.0,3.75,0.0,0.0
1.0,0.0,4.25,0.0,0.0
1.0,0.0,4.5,0.0,0.0
1.0,0.0,5.0,0.0,0.0
1.0,0.0,4.5,0.0,0.0
1.0,0.0,4.5,0.0,1.0
3.0,0.47712125471966244,2.5,0.0,0.0
1.0,0.0,4.5,0.0,0.0
1.0,0.0,4.5,0.0,1.0
1.0,0.0,4.0,0.0,0.0
1.0,0.0,4.75,0.0,0.0
1.0,0.0,4.0,0.0,0.0
5.0,0.6989700043360189,2.5,2.0,3.0
1.0,0.0,3.5,0.0,1.0
1.0,0.0,4.25,2.0,0.0
1.0,0.0,5.0,0.0,1.0
1.0,0.0,4.5,0.0,0.0
1.0,0.0,2.25,2.0,2.0
1.0,0.0,4.5,0.0,0.0
1.0,0.0,4.75,0.0,0.0
1.0,0.0,4.75,0.0,1.0
